Rank,Player,3P%
1.,Steve Kerr,.4540
2.,Hubert Davis,.4409
3.,Dražen Petrović*,.4374
4.,Joe Harris,.4372
5.,Luke Kennard,.4370
6.,Seth Curry,.4353
7.,Jason Kapono,.4336
8.,Tim Legler,.4312
9.,Steve Novak,.4301
10.,Kyle Korver,.4287
11.,Steve Nash*,.4278
12.,Stephen Curry,.4275
13.,Desmond Bane,.4255
14.,B.J. Armstrong,.4249
15.,Wesley Person,.4176
16.,Michael Porter Jr.,.4171
17.,Anthony Morrow,.4166
18.,Klay Thompson,.4161
19.,J.J. Redick,.4145
20.,Matt Bonner,.4145
21.,Tyrese Maxey,.4136
22.,Dana Barros,.4110
23.,Doug McDermott,.4099
24.,Bryn Forbes,.4098
25.,Joe Ingles,.4085
26.,Trent Tucker,.4078
27.,Tyrese Haliburton,.4075
28.,Daniel Gibson,.4073
29.,José Calderón,.4071
30.,Mike Miller,.4067
31.,Wally Szczerbiak,.4061
32.,Raja Bell,.4056
33.,Brent Barry,.4053
34.,Anthony Parker,.4043
35.,Georges Niang,.4031
36.,Dale Ellis,.4029
37.,Jeff Hornacek,.4029
38.,Luke Babbitt,.4024
39.,Buddy Hield,.4021
40.,Mark Price,.4020
41.,Allan Houston,.4019
42.,Dell Curry,.4019
43.,Michael Dickerson,.4017
44.,Brandon Rush,.4015
45.,Ben Gordon,.4009
46.,Peja Stojaković,.4007
47.,James Jones,.4006
48.,Payton Pritchard,.4003
49.,Ray Allen*,.4002
50.,Glen Rice,.4002
51.,Craig Hodges,.3999
52.,Danny Green,.3997
53.,Trey Murphy III,.3997
54.,Eric Piatkowski,.3990
55.,Kenny Smith,.3988
56.,Duncan Robinson,.3986
57.,Dāvis Bertāns,.3977
58.,Pat Garrity,.3976
59.,Otto Porter Jr.,.3974
60.,Jevon Carter,.3973
61.,Dennis Scott,.3967
62.,Fred Hoiberg,.3964
63.,Bobby Simmons,.3958
64.,Troy Daniels,.3953
65.,CJ McCollum,.3952
66.,Karl-Anthony Towns,.3948
67.,Grayson Allen,.3948
68.,Reggie Miller*,.3947
69.,Hersey Hawkins,.3945
70.,Bojan Bogdanović,.3941
71.,Tony Snell,.3939
72.,Darren Collison,.3937
73.,Jared Dudley,.3930
74.,Bruce Bowen,.3929
75.,Danny Ferry,.3927
76.,Cameron Johnson,.3927
77.,Jon Barry,.3920
78.,Monte Morris,.3916
79.,Tyronn Lue,.3915
80.,Kyrie Irving,.3914
81.,Corey Kispert,.3906
82.,Meyers Leonard,.3902
83.,Damon Jones,.3898
84.,Eddie House,.3898
85.,Bobby Phills,.3895
86.,Patty Mills,.3886
87.,Troy Murphy,.3885
88.,Landry Shamet,.3883
89.,E'Twaun Moore,.3883
90.,Khris Middleton,.3882
91.,Malcolm Brogdon,.3881
92.,Luther Head,.3881
93.,Mitch Richmond*,.3881
94.,Courtney Lee,.3878
95.,Tracy Murray,.3877
96.,Channing Frye,.3877
97.,Kawhi Leonard,.3875
98.,Chauncey Billups,.3873
99.,Darius Garland,.3872
100.,Bogdan Bogdanović,.3871
101.,Brent Price,.3870
102.,Anfernee Simons,.3868
103.,Allen Crabbe,.3866
104.,Leandro Barbosa,.3865
105.,Arron Afflalo,.3864
106.,Rashard Lewis,.3864
107.,Jalen Brunson,.3861
108.,Norman Powell,.3860
109.,Terry Porter,.3860
110.,Hollis Thompson,.3858
111.,Kevin Huerter,.3852
112.,Kevin Durant,.3848
113.,Anthony Peeler,.3845
114.,Chris Mullin*,.3844
115.,Kevin Martin,.3843
116.,Detlef Schrempf,.3843
117.,Reggie Bullock,.3843
118.,Terry Mills,.3843
119.,Nemanja Bjelica,.3843
120.,Shane Battier,.3841
121.,Voshon Lenard,.3841
122.,Matt Carroll,.3839
123.,Zach LaVine,.3839
124.,Hedo Türkoğlu,.3839
125.,Alec Burks,.3838
126.,Matt Bullard,.3837
127.,John Stockton*,.3836
128.,Gary Trent Jr.,.3835
129.,Royce O'Neale,.3835
130.,Roger Mason,.3835
131.,Darius Miller,.3831
132.,Steve Blake,.3828
133.,Tyler Herro,.3826
134.,Gary Neal,.3824
135.,Wayne Ellington,.3824
136.,Martell Webster,.3822
137.,Mike Conley,.3821
138.,Danilo Gallinari,.3821
139.,Joe Dumars*,.3819
140.,Brian Cook,.3819
141.,Paul George,.3813
142.,D.J. Augustin,.3811
143.,Bobby Portis,.3811
144.,Danny Granger,.3805
145.,Dirk Nowitzki,.3804
146.,Michael Redd,.3799
147.,Collin Sexton,.3798
148.,Jason Terry,.3797
149.,George Hill,.3796
150.,Ryan Anderson,.3795
151.,Mike Muscala,.3794
152.,Scott Skiles,.3794
153.,Mike Bibby,.3793
154.,Walt Williams,.3790
155.,Mike James,.3789
156.,Damion Lee,.3789
157.,Christian Wood,.3789
158.,Evan Fournier,.3787
159.,Grant Williams,.3785
160.,Cuttino Mobley,.3784
161.,Mo Williams,.3784
162.,Harrison Barnes,.3784
163.,Terry Dehere,.3783
164.,Vladimir Radmanović,.3783
165.,Malik Beasley,.3781
166.,Danny Ainge,.3780
167.,Kerry Kittles,.3776
168.,Aaron Holiday,.3772
169.,LaMelo Ball,.3772
170.,Mike Dunleavy,.3769
171.,Lee Mayberry,.3767
172.,Marco Belinelli,.3765
173.,Richard Jefferson,.3763
174.,Mikal Bridges,.3763
175.,Marcus Morris,.3762
176.,Nick Young,.3759
177.,Wesley Matthews,.3759
178.,Larry Bird*,.3758
179.,Kirk Hinrich,.3754
180.,OG Anunoby,.3753
181.,Jayson Tatum,.3752
182.,Boštjan Nachbar,.3749
183.,Mehmet Okur,.3748
184.,Michael Finley,.3747
185.,Sean Elliott,.3747
186.,Sam Mack,.3743
187.,Jordan Farmar,.3740
188.,Al Horford,.3738
189.,Derek Fisher,.3735
190.,Patrick Beverley,.3735
191.,Morris Peterson,.3734
192.,O.J. Mayo,.3734
193.,Jodie Meeks,.3730
194.,Scott Burrell,.3729
195.,Andrés Nocioni,.3729
196.,C.J. Watson,.3729
197.,Jamal Murray,.3729
198.,Anthony Tolliver,.3728
199.,Eddie Jones,.3728
200.,J.R. Smith,.3727
201.,Fred VanVleet,.3726
202.,Chandler Parsons,.3726
203.,Damian Lillard,.3724
204.,Scott Brooks,.3722
205.,Bradley Beal,.3720
206.,Matt Maloney,.3719
207.,Taurean Prince,.3718
208.,Delonte West,.3715
209.,Vince Carter,.3713
210.,Joe Johnson,.3710
211.,Max Strus,.3709
212.,Lauri Markkanen,.3706
213.,Eric Gordon,.3706
214.,Mirza Teletović,.3705
215.,Byron Scott,.3703
216.,De'Anthony Melton,.3702
217.,Jason Richardson,.3702
218.,Kevin Love,.3701
219.,Aaron Brooks,.3697
220.,Gary Harris,.3696
221.,Tobias Harris,.3694
222.,Chris Paul,.3691
223.,Bryon Russell,.3691
224.,Gordon Hayward,.3688
225.,Craig Ehlo,.3688
226.,Tim Thomas,.3687
227.,Manu Ginóbili*,.3687
228.,Patrick Patterson,.3686
229.,Paul Pierce*,.3685
230.,Rashad McCants,.3682
231.,Omri Casspi,.3682
232.,David Wesley,.3681
233.,Kelly Olynyk,.3680
234.,Jameer Nelson,.3679
235.,Gordan Giriček,.3677
236.,Langston Galloway,.3677
237.,JaMychal Green,.3675
238.,Terry Rozier,.3675
239.,Sasha Vujačić,.3673
240.,Kyle Lowry,.3672
241.,Tayshaun Prince,.3671
242.,Immanuel Quickley,.3669
243.,Devin Vassell,.3668
244.,Coby White,.3667
245.,Garrison Mathews,.3667
246.,Ersan İlyasova,.3665
247.,Jud Buechler,.3663
248.,Terence Davis,.3663
249.,Randy Foye,.3659
250.,P.J. Washington,.3659
