Rank,Player,OWS
1.,Kareem Abdul-Jabbar*,178.92
2.,LeBron James,177.13
3.,Wilt Chamberlain*,153.34
4.,Oscar Robertson*,151.99
5.,Michael Jordan*,149.88
6.,Chris Paul,148.52
7.,Dirk Nowitzki,143.77
8.,John Stockton*,142.77
9.,Karl Malone*,142.21
10.,Reggie Miller*,140.36
11.,Jerry West*,124.64
12.,Charles Barkley*,123.30
13.,Kobe Bryant*,122.08
14.,James Harden,117.89
15.,Kevin Durant,115.82
16.,Shaquille O'Neal*,115.35
17.,Steve Nash*,113.65
18.,Moses Malone*,112.71
19.,Ray Allen*,111.70
20.,Adrian Dantley*,111.43
21.,Magic Johnson*,110.56
22.,Walt Bellamy*,103.30
23.,Tim Duncan*,100.03
24.,Kevin Garnett*,99.95
25.,David Robinson*,98.54
26.,Gary Payton*,96.68
27.,Stephen Curry,93.35
28.,Chauncey Billups,92.43
29.,Bob Pettit*,91.82
30.,Pau Gasol,89.93
31.,Paul Pierce*,86.93
32.,Damian Lillard,86.84
33.,Larry Bird*,86.80
34.,Dolph Schayes*,86.25
35.,Clyde Drexler*,85.63
36.,Ed Macauley*,84.37
37.,Bailey Howell*,83.83
38.,Dominique Wilkins*,82.33
39.,Paul Arizin*,82.07
40.,Vince Carter,80.68
41.,Chet Walker*,78.41
42.,Alex English*,77.61
43.,Jeff Hornacek,76.65
44.,Detlef Schrempf,76.39
45.,Kevin McHale*,75.98
46.,Bob Lanier*,75.44
47.,Robert Parish*,74.01
48.,Neil Johnston*,73.88
49.,Dwyane Wade,73.32
50.,Jimmy Butler,73.08
51.,LaMarcus Aldridge,72.88
52.,Terry Porter,71.92
53.,Kyle Lowry,71.32
54.,Artis Gilmore*,70.85
55.,Carmelo Anthony,70.75
56.,Jason Terry,70.45
57.,Kevin Johnson,70.43
58.,George Gervin*,70.36
59.,George Mikan*,69.99
60.,Andre Miller,69.54
61.,Chris Mullin*,69.25
62.,Walt Frazier*,69.08
63.,Horace Grant,68.97
64.,Chris Bosh*,68.79
65.,Nikola Jokić,68.36
66.,Hakeem Olajuwon*,68.30
67.,Calvin Murphy*,67.55
68.,Kiki Vandeweghe,66.78
69.,Dale Ellis,66.13
70.,DeMar DeRozan,66.12
71.,Sam Cassell,66.01
72.,Elton Brand,65.80
73.,Tony Parker,65.79
74.,Dwight Howard,65.55
75.,Tiny Archibald*,65.38
76.,Antawn Jamison,65.04
77.,Larry Nance,64.97
78.,Hal Greer*,64.92
79.,Shawn Marion,63.64
80.,Elgin Baylor*,63.64
81.,Jerry Lucas*,63.62
82.,Glen Rice,63.61
83.,Jason Kidd*,63.42
84.,Lou Hudson*,63.39
85.,Stephon Marbury,63.32
86.,Amar'e Stoudemire,63.12
87.,Joe Dumars*,63.07
88.,Dan Issel*,63.03
89.,Anthony Davis,62.49
90.,Sam Perkins,62.34
91.,Julius Erving*,61.89
92.,Otis Thorpe,61.59
93.,Grant Hill*,61.47
94.,Bill Sharman*,61.41
95.,Sidney Moncrief*,61.40
96.,Steve Smith,61.21
97.,Rashard Lewis,60.99
98.,Tracy McGrady*,60.91
99.,Maurice Cheeks*,60.87
100.,Allen Iverson*,60.86
101.,Kevin Love,60.81
102.,Lenny Wilkens*,60.16
103.,Jack Twyman*,59.58
104.,Russell Westbrook,59.53
105.,Mike Conley,59.50
106.,Kyrie Irving,59.38
107.,Mitch Richmond*,59.30
108.,Rick Barry*,59.14
109.,Hersey Hawkins,59.08
110.,Al Horford,59.08
111.,Manu Ginóbili*,58.98
112.,Rolando Blackman,58.98
113.,Giannis Antetokounmpo,58.69
114.,Dick Van Arsdale,58.55
115.,Peja Stojaković,58.44
116.,Deron Williams,58.39
117.,A.C. Green,58.31
118.,Buck Williams,58.30
119.,Scottie Pippen*,57.79
120.,Tim Hardaway*,57.74
121.,John Havlicek*,57.63
122.,Eddie Jones,57.08
123.,Michael Finley,56.92
124.,Joe Johnson,56.53
125.,Tyson Chandler,56.30
126.,Bob McAdoo*,56.26
127.,Bill Laimbeer,56.22
128.,Harry Gallatin*,56.13
129.,Gail Goodrich*,55.63
130.,Ricky Pierce,54.73
131.,Mark Jackson,54.65
132.,World B. Free,54.60
133.,Kawhi Leonard,54.42
134.,Derek Harper,53.39
135.,Cedric Maxwell,53.23
136.,Cliff Hagan*,53.15
137.,Marques Johnson,52.98
138.,Blake Griffin,52.98
139.,Rudy Gobert,52.89
140.,DeAndre Jordan,52.13
141.,Rudy Tomjanovich*,51.91
142.,Mark Price,51.91
143.,Jack Sikma*,51.78
144.,James Worthy*,51.52
145.,Mike Bibby,51.19
146.,Larry Foust,51.14
147.,Earl Monroe*,50.87
148.,Andre Iguodala,50.82
149.,Shareef Abdur-Rahim,50.14
150.,Danilo Gallinari,49.75
151.,Reggie Theus,49.75
152.,Richard Jefferson,49.71
153.,Paul Millsap,49.68
154.,David Lee,49.63
155.,Walter Davis,49.51
156.,Bernard King*,49.50
157.,Kevin Martin,49.33
158.,Richie Guerin*,49.32
159.,Brad Miller,49.30
160.,Karl-Anthony Towns,49.25
161.,Rod Strickland,49.03
162.,Anthony Mason,48.59
163.,Sam Jones*,48.58
164.,Vern Mikkelsen*,48.46
165.,Dikembe Mutombo*,48.45
166.,J.J. Redick,48.16
167.,Rasheed Wallace,47.97
168.,Michael Redd,47.68
169.,José Calderón,47.41
170.,Brent Barry,47.38
171.,Bobby Wanzer*,47.32
172.,Bob Dandridge*,47.27
173.,Brook Lopez,46.90
174.,Eddie Johnson,46.77
175.,Byron Scott,46.67
176.,Tom Chambers,46.65
177.,Terry Dischinger,46.64
178.,Lou Williams,46.58
179.,Kenny Sears,46.56
180.,Dick Barnett,46.54
181.,Mark Aguirre,46.51
182.,Corey Maggette,46.25
183.,Wes Unseld*,45.97
184.,Terry Cummings,45.66
185.,Danny Ainge,45.66
186.,Happy Hairston,45.49
187.,Dale Davis,45.45
188.,Clyde Lovellette*,45.24
189.,Don Nelson*,45.12
190.,Patrick Ewing*,45.03
191.,John Drew,45.02
192.,Dave Bing*,44.96
193.,Bob Boozer,44.88
194.,Jonas Valančiūnas,44.75
195.,Paul Westphal*,44.64
196.,David West,44.58
197.,Dan Majerle,44.52
198.,Carl Braun*,44.44
199.,Zach Randolph,44.18
200.,Archie Clark,44.15
201.,Larry Johnson,44.07
202.,Nick Van Exel,43.91
203.,Dick Snyder,43.66
204.,Vlade Divac*,43.52
205.,Jamaal Wilkes*,43.46
206.,Bill Cartwright,43.45
207.,George Yardley*,42.98
208.,Kyle Korver,42.88
209.,Marc Gasol,42.87
210.,Willis Reed*,42.56
211.,George Hill,42.22
212.,Brad Davis,42.17
213.,Jamal Crawford,42.09
214.,Larry Costello*,41.83
215.,Alonzo Mourning*,41.77
216.,Randy Smith,41.44
217.,P.J. Brown,41.33
218.,Isiah Thomas*,41.17
219.,Andrei Kirilenko,40.69
220.,Bob Cousy*,40.63
221.,Carlos Boozer,40.61
222.,David Thompson*,40.40
223.,Shane Battier,40.40
224.,Gordon Hayward,40.35
225.,Terrell Brandon,40.06
226.,Bobby Jones*,39.94
227.,Johnny Green,39.94
228.,Dennis Johnson*,39.91
229.,Richard Hamilton,39.77
230.,Wally Szczerbiak,39.46
231.,Mike Miller,39.17
232.,Calvin Natt,39.06
233.,Fred Brown,38.83
234.,Kemba Walker,38.47
235.,Dana Barros,38.42
236.,Isaiah Thomas,38.37
237.,Gilbert Arenas,38.29
238.,Orlando Woolridge,38.21
239.,Jim Paxson,38.20
240.,Clint Capela,38.18
241.,Brad Daugherty,38.12
242.,Mike Newlin,38.09
243.,Damon Stoudamire,38.02
244.,Paul George,37.70
245.,Michael Cage,37.44
246.,Al Jefferson,37.41
247.,Mike Mitchell,37.38
248.,Tobias Harris,37.35
249.,Shawn Kemp,37.33
250.,Nenê,37.21
